flower_binary,fruit_binary,year,day_of_the_year,dbh_cm,height_m
,,2020,167,,
,,2020,167,,
,,2020,167,,14
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,169,,8
,,2020,169,,7
,,2020,169,,7
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,171,,
,,2020,174,,9
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,178,,
,,2020,179,,
,,2020,179,,8
,,2020,179,,7
,,2020,179,,10
,,2020,179,,6
,,2020,179,,12
,,2020,179,,12
,,2020,179,,12
,,2020,179,,9
,,2020,179,,15
,,2020,179,,7
,,2020,179,,9
,,2020,184,,8.5
,,2020,184,,7
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,195,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,198,,6
,,2020,198,,9
,,2020,198,,4.5
,,2020,198,,9
,,2020,216,,6.5
,,2020,230,,12
,,2020,230,,9
,,2020,230,,4
,,2020,237,,
,,2020,239,,
,,2020,239,,9
,,2020,239,,9
,,2020,239,,9
,,2020,239,,8
,,2020,239,,6
,,2020,239,,10
,,2020,239,,10
,,2020,239,,6
,,2020,239,,7
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,239,,
,,2020,240,,
,,2020,240,,
,,2020,240,,
,,2020,240,,
,,2020,240,,
,,2020,240,,
,,2020,240,,
,,2020,240,,
,,2020,240,,6
,,2020,240,,6
,,2020,240,,5
,,2020,240,,8
,,2020,240,,10
,,2020,240,,4
,,2020,240,,13
,,2020,240,,4
,,2020,240,,7
,,2020,240,,13
,,2020,240,,4
,,2020,240,,9
,,2020,240,,8
,,2020,240,,9
,,2020,240,,5
,,2020,240,,5
,,2020,240,,6
,,2020,240,,6
,,2020,240,,12
,1,2020,240,,4
,1,2020,254,,7.5
,,2020,258,,17
,,2020,258,,6.5
,,2020,258,,7
,,2020,258,,4.5
,,2020,258,,8.3
,,2020,258,,5
,,2020,258,,10
,,2020,258,,10
,,2020,258,,12.5
,,2020,258,,11
,,2020,258,,12.5
,,2020,258,,12
,,2020,258,,4.5
,,2020,266,,12
,,2020,266,,14
,,2020,266,,
,,2020,266,,20
,,2020,266,,11
,,2020,266,,15
,,2020,272,,
,,2021,84,,
,,2021,84,37,17
,,2020,280,,
,,2020,280,,8
,,2020,280,,7
,,2020,280,,15
,,2020,280,,8
,,2020,280,,8
,,2020,280,,10
,,2020,280,,11
,,2020,280,,8
,,2021,56,31,15
,,2020,281,,
,,2020,281,,12
,,2020,281,,8
,,2020,281,,10
,,2020,281,,7
,,2020,281,,15
,,2020,281,,7
,,2020,281,,10
,,2020,281,,7
,,2020,281,,4
,1,2020,283,,
,0,2020,283,,4
,,2020,283,,13
,,2020,283,,
,,2020,283,,12
,,2020,283,,10
,,2020,283,,6
,,2020,286,,
0,0,2020,286,,18
,,2020,290,,
,,2020,290,,9
,,2020,290,,12
,,2020,290,,10
,,2020,290,,15
,,2020,290,,12
,,2020,290,,15
,,2020,290,,8
,,2020,290,,8
,,2020,290,,9
,,2020,290,,
0,0,2020,300,,4
0,0,2020,300,,4.5
,,2020,300,,15
,,2020,304,,11
,,2020,304,,15
,,2020,304,,9
0,0,2020,315,,
0,0,2020,316,,4
,,2020,316,,8
,,2020,316,,8
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,1,2020,322,,15
0,0,2020,329,,6
,,2020,331,,5
,,2020,338,,
,,2020,338,,15
,,2020,338,,10
,,2020,338,,7
,,2020,338,,11
,,2020,338,,12
,,2020,338,,10
,,2020,338,,12
,,2020,338,,12
,,2020,338,,12
,,2020,338,,14
,,2020,338,,12
,,2020,338,,10
,,2020,338,,10
,,2020,338,,7
,,2020,342,,
,,2020,342,,
,,2020,342,,
,,2020,342,,
,,2020,342,,
,,2020,342,,
,,2020,342,,
,,2020,343,,9
,,2020,343,,
,,2020,343,,
,,2020,344,,7
,,2020,344,,5
,,2020,344,,12
,,2020,344,,12
,,2020,344,,7
,,2020,344,,12
,,2020,344,,10
,,2020,344,,10
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,345,,
,,2020,345,,4
,,2020,345,,18
,,2020,345,,15
,,2020,345,,18
,,2020,345,,15
,,2020,345,,6
,,2020,345,,7
,,2020,345,,12
,,2020,345,,5
,,2020,345,,15
,,2020,345,,15
,,2020,345,,12
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,346,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,350,,4
,,2020,350,,12
,,2020,350,,12
,,2020,350,,10
,,2020,350,,15
,,2020,350,,7
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,351,,
,,2020,351,,15
,,2020,351,,5
,,2020,351,,7
0,0,2020,351,,8
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,352,,
,,2020,352,,
,,2020,352,,
,,2020,352,,
,,2020,352,,
,,2020,352,,
,,2020,352,,
,,2020,352,,
,,2020,352,,5
,,2020,353,,
,,2020,353,,
,,2020,353,,
,,2020,353,,
,,2020,353,,
,,2020,353,,
,,2021,6,,
,,2021,6,,
,,2021,6,,5
,,2021,6,,7
,,2021,6,,9
,,2021,6,,5
,,2021,6,,12
,,2021,6,,5
,,2021,6,,6
,,2021,6,,5
,,2021,6,,9
,,2021,6,,8
,,2021,6,,13
,,2021,6,,12
,,2021,6,,11
,,2021,6,,12
,,2021,6,,9
,,2021,6,,11
,,2021,6,,10
,,2021,6,,7
,,2021,6,,6
,,2021,6,,8
,,2021,6,,10
,,2021,8,,
,,2021,8,,
,,2021,8,,5
,,2021,8,,11
,,2021,8,,6
,,2021,8,,5
,1,2021,8,,4
,,2021,8,,4
,,2021,8,,4
,,2021,8,,5
,,2021,8,,4
,,2021,8,,8
,,2021,8,,7
,,2021,8,,8
,,2021,8,,7
,,2021,8,,7
,,2021,8,,6
,,2021,8,,7
,,2021,8,,7
,,2021,8,,6
,,2021,8,,6
,,2021,8,,8
,,2021,20,,
,,2021,20,,
,,2021,20,,
,,2021,20,,
,,2021,20,,
,,2021,20,,
,,2021,20,,
,,2021,21,,
,,2021,21,,
1,,2021,21,,
,,2021,21,,
1,,2021,21,,
,,2021,21,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,27,,
1,,2021,27,,
,,2021,27,,8
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,13
1,,2021,27,,13
,,2021,27,,13
,,2021,27,,
,,2021,27,,13
,,2021,27,,13
,,2021,27,,13
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,5
,,2021,27,,
,,2021,27,,
,,2021,27,,15
1,,2021,27,,
,,2021,27,,
,,2021,27,,5
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,28,,
,,2021,28,,7
,,2021,28,,8
,,2021,28,,10
,,2021,28,,10
,,2021,28,,11
,,2021,28,,8
,,2021,28,,8
,,2021,28,,10
1,,2021,28,,4
1,,2021,28,,8
1,,2021,28,,
,,2021,28,,
1,,2021,28,,5
,,2021,28,,
,,2021,28,,
,,2021,28,,
,,2021,28,,
,,2021,28,,
,,2021,28,,
,,2021,28,,
,,2021,28,,
,,2021,47,,8
,,2021,47,,8
1,,2021,47,,15
,,2021,47,,8
1,,2021,47,,8
,,2021,47,,
,,2021,47,,
,,2021,47,,
,,2021,47,,
,,2021,47,,
1,,2021,47,,15
,,2021,47,,15
,,2021,47,,17
,,2021,47,,
,,2021,47,,
,,2021,47,,
,,2021,47,,
,,2021,50,,
,,2021,50,,
,,2021,50,,8
,,2021,50,,8
,,2021,50,,6
,,2021,50,,12
,,2021,50,,4
,,2021,50,,12
,,2021,50,,5
,,2021,50,,14
,,2021,50,,7
,,2021,50,,7
,,2021,50,,7
,,2021,50,,8
,,2021,50,,5
,,2021,50,,7
,,2021,50,,7
,,2021,50,,5
,,2021,50,,7
,,2021,50,,10
,,2021,50,,7
,,2021,50,,4
,,2021,50,,4
1,,2021,53,,12
,,2021,54,,
,,2021,54,,5
,,2021,54,,7
,,2021,54,,6
,,2021,55,,
,,2021,55,,
,,2021,63,,
,0,2021,74,27,11
,0,2021,74,26,16
,0,2021,74,23,11
,0,2021,74,19,9
,,2021,69,,
,,2021,70,,8
,,2021,70,,6
,,2021,70,,4
,,2021,70,,5
,,2021,70,,4
,,2021,70,,5
,,2021,70,,10
,,2021,70,,6
,,2021,71,,
,,2021,71,,
,,2021,71,,5
,,2021,71,,6
,,2021,71,,8
,,2021,71,,5
,,2021,71,,5
,,2021,71,,6
,,2021,71,,5
,,2021,71,,4
,,2021,71,,
,,2021,75,,8
,,2021,75,,5
,,2021,75,,7
,,2021,75,,
,,2021,76,,15
,1,2021,76,,15
,0,2021,74,19,10
,0,2021,74,18,8
,,2021,85,,
,,2021,87,,
,,2021,88,,8
,,2021,88,,
,,2021,88,,
,0,2021,74,15,9
,0,2021,74,15,8
,0,2021,74,15,8
,0,2021,74,14,6
,0,2021,74,13,6
,0,2021,74,13,7
,,2021,96,,
,1,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,99,,8
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,8
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,100,,
,,2021,100,,8
,,2021,100,,
,,2021,100,,12
,,2021,100,,12
,,2021,100,,
,1,2021,100,,8
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,104,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,108,,
,,2021,109,,7
,,2021,109,,7
,,2021,109,,7
,,2021,116,,4
,,2021,116,,5
,,2021,118,,
0,0,2021,118,,7.5
,,2021,123,,10
,1,2021,130,,6
,,2021,130,,8
,,2021,130,,5
,,2021,130,,4
,0,2021,74,13,7
,,2021,131,,
,,2021,131,,8
,,2021,131,,15
,,2021,131,,6
,,2021,131,,8
,,2021,131,,7
,1,2021,131,,8
,,2021,131,,12
,,2021,131,,12
,,2021,131,,15
,,2021,131,,8
,,2021,131,,6
,,2021,131,,13
,,2021,131,,7
,,2021,131,,10
,,2021,131,,15
,,2021,131,,7
,,2021,131,,15
,,2021,131,,4
,,2021,131,,7
,,2021,131,,12
,,2021,138,,
,,2021,138,,8
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,139,,
,,2021,139,,
,,2021,145,,7.5
,,2021,145,,7
,,2021,145,,10
,,2021,145,,
,,2021,145,,13
,,2021,145,,18
,,2021,145,,9
,,2021,145,,8
,,2021,148,,
,0,2021,148,,9
0,0,2021,152,,5
,,2021,153,,12
,0,2021,154,,6
,,2021,154,,
,,2021,154,,8
,,2021,154,,11
,,2021,186,,10
,,2021,186,,
,,2021,186,,8
,,2021,186,,12
,,2021,186,,12
,,2021,186,,12
,,2021,186,,8
,,2021,186,,
,,2021,186,,8
,,2021,186,,
,,2021,186,,12
,,2021,186,,12
,,2021,189,,15
,,2021,189,,7
,,2021,189,,5
,,2021,189,,4
,,2021,189,,5
,,2021,189,,7
,,2021,189,,15
,,2021,190,,7.5
,,2021,190,,
,,2021,190,,
,,2021,190,,
,,2021,190,,6
,,2021,190,,10
,1,2021,190,,4.5
,,2021,190,,13
,,2021,190,,
,,2021,190,,5
,,2021,190,,7
,,2021,190,,5
,,2021,190,,
,,2021,190,,12
,,2021,190,,7
,,2021,190,,9
,,2021,190,,8
,,2021,217,,
,,2021,217,,9
,,2021,217,,10
,,2021,217,,12
,,2021,217,,
,,2021,217,,14
,,2021,217,,12
,,2021,217,,6
,,2021,217,,7
,,2021,217,,6
,,2021,217,,5
,,2021,218,,5
,0,2021,74,12,8
,0,2021,74,11,8
,,2021,225,,
,,2021,225,,
,,2021,236,,
,,2021,243,,12
,,2021,243,,12
,,2021,244,,
,,2021,244,,
,,2021,244,,5.5
,,2021,244,,
,,2021,244,,
,,2021,256,,15
,,2021,256,,8
,,2021,256,,7
,,2021,256,,6
,,2021,256,,13
,,2021,256,,5
,,2021,256,,15
,,2021,256,,12
,,2021,256,,10
,,2021,256,,7
,,2021,256,,7
,,2021,257,,6
,,2021,257,,12
,,2021,257,,7
,,2021,257,,6
,,2021,257,,7
,,2021,257,,7
,,2021,257,,7
,,2021,257,,12
,,2021,257,,12
,,2021,257,,8
,,2021,257,,15
,,2021,257,,14
,,2021,257,,7
,,2021,257,,4
,,2021,257,,12
,,2021,257,,12
,,2021,257,,15
,,2021,257,,6
,,2021,257,,6
,,2021,257,,4
,,2021,257,,
,,2021,257,,10
,,2021,257,,7
,,2021,273,,6
0,1,2021,286,,6
,0,2021,74,11,7
,0,2021,74,10,5
,0,2021,74,10,7
,0,2021,342,,6
,,2021,343,,
,1,2021,343,,16
,0,2021,74,9,8
,0,2021,74,7,6
,0,2021,74,7,6
,,2021,76,44.7,
,,2021,76,27.8,
,,2021,76,26.3,
,,2021,76,22.1,
,,2022,46,,15
,,2022,46,,
,,2022,62,,10
,,2021,76,22,
0,0,2022,121,,
0,0,2022,122,,11
,,2021,76,21,
,,2022,237,,
,,2017,355,,
,,2017,355,,
,,2018,248,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,284,,
0,0,2018,297,,
,,2019,91,,
,,2019,91,,
,,2019,91,,
,,2019,113,,
,,2019,113,,
,,2019,113,,
,,2019,114,,
,,2019,114,,
,,2019,114,,
,,2019,157,,
,,2019,157,,
,,2019,225,,
,,2019,225,,
,,2019,225,,
,,2019,297,,
,,2019,297,,
,,2019,297,,
,,2019,297,,
,,2019,311,,
,,2019,311,,
,,2019,332,,
,,2019,332,,
,,2019,332,,
,,2019,332,,
,,2019,333,,
,,2019,333,,
,,2019,333,,
,,2019,333,,
,,2019,333,,
,,2019,337,,
,,2019,337,,
,,2019,337,,
,,2019,338,,
,,2019,338,,
,,2019,338,,
,,2019,338,,
,,2020,66,,
,,2020,66,,
,,2020,87,,
,,2020,87,,
,,2020,87,,
,,2020,114,,
,,2020,114,,
,,2020,120,,
,,2020,132,,
,,2020,135,,
,,2020,135,,4
,,2020,149,,
,,2020,156,,
,,2020,156,,
,,2020,156,,
,,2020,156,,
,,2020,157,,
,,2020,157,,
,,2020,157,,
,,2020,157,,
,,2020,169,,
,,2020,169,,
,,2020,169,,
,,2020,183,,0.3
,,2020,183,,
,,2020,184,,
,,2020,230,,
,,2020,240,,
,,2020,240,,3
,,2020,240,,
,,2020,244,,0.55
,,2020,244,,
,,2020,244,,
,,2020,244,,
,,2020,244,,
,,2020,246,,
,,2020,246,,
,,2020,246,,
,,2020,246,,
,,2020,246,,
,,2020,252,,
,,2020,252,,
,,2020,252,,
,,2020,258,,3.5
,,2020,258,,3.5
,,2020,258,,0.4
,,2020,258,,0.55
,,2020,258,,
,,2020,258,,
,,2020,265,,6
,,2020,268,,
,,2020,268,,
,,2020,272,,
,,2020,273,,
,,2020,273,,
,,2020,273,,
,,2020,273,,
,,2020,274,,
,,2020,274,,0.4
,,2020,274,,
,,2020,274,,0.45
,,2020,274,,
,,2020,274,,0.6
,,2020,274,,0.55
,,2020,274,,0.55
,,2020,274,,0.55
,,2020,274,,0.6
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,274,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,281,,
,,2020,282,,
,,2020,282,,
,,2020,282,,
,,2020,282,,
,,2020,282,,
,,2020,282,,
,,2020,282,,
,,2020,282,,
,,2020,282,,
,,2020,282,,
,,2020,283,,3
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,284,,
,,2020,301,,
,,2020,309,,
,,2020,309,,
,,2020,309,,
,,2020,309,,
,,2020,309,,1.6
,,2020,309,,2
,,2020,309,,2.5
,,2020,315,,
,,2020,315,,
,,2020,316,,
,,2020,316,,
,,2020,316,,
,,2020,318,,
,,2020,318,,
,,2020,318,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,,2020,322,,
,0,2020,329,,7
,,2020,329,,4
,0,2020,329,,5
,,2020,329,,3
,0,2020,330,,5
,,2020,330,,
,0,2020,330,,5
,,2020,330,,
,,2020,330,,
,0,2020,330,,4
,,2020,330,,
,,2020,330,,5
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,330,,
,,2020,331,,
,,2020,331,,
,,2020,331,,
,,2020,331,,4
0,0,2020,331,,
,,2020,331,,
,,2020,335,,
,,2020,335,,
0,0,2020,335,,
0,0,2020,335,,
0,0,2020,335,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
0,0,2020,336,,
0,0,2020,336,,
,,2020,336,,
0,0,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,3
,,2020,336,,
0,0,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
0,0,2020,336,,
0,0,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,336,,
,,2020,338,,
,,2021,76,18.3,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,346,,
,,2020,346,,
,,2020,346,,
,,2020,346,,
,,2020,346,,
,,2020,346,,
,,2020,346,,
