year,dbh_cm,height_m,disturbance_category,fire_disturbance_type,logging_decade
2021,,5,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,5,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,9,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,5,fire,No detected disturbance,
2021,12,8,fire,No detected disturbance,
2021,,3,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,5.5,fire,No detected disturbance,
2021,,6,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,6,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,14,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,4,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,6,fire,No detected disturbance,
2021,,6,fire,No detected disturbance,
2021,,4,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,10,7,fire,No detected disturbance,
2021,,16,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,9,8,fire,No detected disturbance,
2021,7,6,fire,No detected disturbance,
2021,7,6,fire,No detected disturbance,
2021,44.7,,fire,No detected disturbance,
2021,27.8,,fire,No detected disturbance,
2021,26.3,,fire,No detected disturbance,
2021,22.1,,fire,No detected disturbance,
2022,,15,fire,No detected disturbance,
2022,,10,fire,No detected disturbance,
2021,22,,fire,No detected disturbance,
2022,,11,fire,No detected disturbance,
2021,21,,fire,No detected disturbance,
2018,,1.5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2018,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2018,,2.5,fire,No detected disturbance,
2018,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2018,,1.5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2018,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2018,,4,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2018,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2018,,1.5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2018,,4,fire,No detected disturbance,
2019,,1,fire,Fire Severity 2 - Crown Scorch,
2019,,1,fire,Fire Severity 2 - Crown Scorch,
2019,,3,fire,No detected disturbance,
2019,,3,fire,No detected disturbance,
2019,,2,fire,No detected disturbance,
2019,,3,fire,No detected disturbance,
2019,,2,fire,No detected disturbance,
2020,,2,fire,No detected disturbance,
2020,,3,fire,No detected disturbance,
2020,,3.5,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,0.25,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,No detected disturbance,
2020,,2,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,4,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,3.5,fire,No detected disturbance,
2020,,2,fire,No detected disturbance,
2020,,2,fire,No detected disturbance,
2020,,1,fire,No detected disturbance,
2020,,2,fire,No detected disturbance,
2020,,0.3,fire,No detected disturbance,
2020,,0.2,fire,No detected disturbance,
2020,,3,fire,No detected disturbance,
2020,,3,fire,No detected disturbance,
2020,,3.5,fire,No detected disturbance,
2020,,3.5,fire,No detected disturbance,
2020,,0.1,fire,No detected disturbance,
2020,,0.1,fire,No detected disturbance,
2020,,0.2,fire,No detected disturbance,
2020,,3,fire,No detected disturbance,
2020,,0.2,fire,No detected disturbance,
2020,,3,fire,No detected disturbance,
2020,,0.1,fire,No detected disturbance,
2020,,7,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,4,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,5,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,3,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,5,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,1.5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,0.5,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,4,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,0.5,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,5,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1.5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,1,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,4,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,1,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,1,fire,Fire Severity 2 - Crown Scorch,
2020,,1,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,1.2,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,1,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,0.6,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,2,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,0.4,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,0.5,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,,1,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,1,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,0.3,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,0.25,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,0.4,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,3,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,1.8,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,1.7,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,1.4,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,1,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,2,fire,Fire Severity 2 - Crown Scorch,
2020,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,,2,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,1,fire,Fire Severity 3 - Moderate Crown Scorch,
2020,,1.5,fire,Fire Severity 2 - Crown Scorch,
2020,,1.5,fire,Fire Severity 2 - Crown Scorch,
2020,,1.5,fire,Fire Severity 2 - Crown Scorch,
2020,,1.5,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2021,18.3,,fire,No detected disturbance,
2020,,3,fire,No detected disturbance,
2020,,2,fire,No detected disturbance,
2020,,2,fire,No detected disturbance,
2020,,3,fire,No detected disturbance,
2020,,3,fire,No detected disturbance,
2020,,1,fire,No detected disturbance,
2021,,3,fire,No detected disturbance,
2021,,3,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,3,fire,No detected disturbance,
2021,,3,fire,No detected disturbance,
2021,,2,fire,No detected disturbance,
2021,,3,fire,No detected disturbance,
2021,,15,fire,No detected disturbance,
2021,,3,fire,No detected disturbance,
2021,,0.3,fire,No detected disturbance,
2021,,0.3,fire,No detected disturbance,
2021,,0.2,fire,No detected disturbance,
2021,,0.3,fire,No detected disturbance,
2021,,0.3,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,3,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,0.05,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,0.3,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.07,fire,No detected disturbance,
2021,,0.3,fire,No detected disturbance,
2021,,0.25,fire,No detected disturbance,
2021,,0.15,fire,No detected disturbance,
2021,17,,fire,No detected disturbance,
2021,15,,fire,No detected disturbance,
2021,13.7,13.7,fire,No detected disturbance,
2021,12.7,,fire,No detected disturbance,
2021,12.1,,fire,No detected disturbance,
2021,11.8,,fire,No detected disturbance,
2021,9.9,,fire,No detected disturbance,
2021,8.3,,fire,No detected disturbance,
2021,7,,fire,No detected disturbance,
2021,5.2,,fire,No detected disturbance,
2021,29,16,fire,No detected disturbance,
2021,16.5,9,fire,No detected disturbance,
2021,14,11,fire,No detected disturbance,
2021,13,4,fire,No detected disturbance,
2021,9,6,fire,No detected disturbance,
2021,7,5,fire,No detected disturbance,
2021,,0.1,fire,No detected disturbance,
2021,,3,fire,No detected disturbance,
2021,,1.5,fire,No detected disturbance,
2021,,2.5,fire,No detected disturbance,
2021,,2.5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,2.5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,2,fire,No detected disturbance,
2021,,2.5,fire,No detected disturbance,
2021,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,0.3,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,1.3,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,1.3,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,2,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,1,fire,No detected disturbance,
2021,,0.45,fire,No detected disturbance,
2021,43,14.2,fire,No detected disturbance,
2021,42.5,14,fire,No detected disturbance,
2021,41.5,17,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2021,41,14,fire,No detected disturbance,
2021,41,16,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,40.7,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2018,40,15,fire,No detected disturbance,
2020,40,15,fire,No detected disturbance,
2021,40,3.5,fire,No detected disturbance,
2022,37.5,11,fire,No detected disturbance,
2022,37.5,11,fire,No detected disturbance,
2020,37,12,fire,No detected disturbance,
2021,37,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,37,19,fire,No detected disturbance,
2021,37,9,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2022,37,14,fire,No detected disturbance,
2020,36.6,,fire,No detected disturbance,
2021,36.5,16,fire,No detected disturbance,
2020,36.3,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,36,16,fire,No detected disturbance,
2020,36,18,fire,No detected disturbance,
2022,36,20,fire,No detected disturbance,
2021,35.5,11.4,fire,No detected disturbance,
2021,35,12,fire,No detected disturbance,
2021,35,12,fire,No detected disturbance,
2021,35,10,fire,No detected disturbance,
2022,35,13,fire,No detected disturbance,
2022,34.5,13,fire,No detected disturbance,
2020,34,14,fire,No detected disturbance,
2021,34,7,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,34,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2022,34,12,fire,No detected disturbance,
2022,34,9,fire,No detected disturbance,
2022,34,14,fire,No detected disturbance,
2021,33.5,12.2,fire,No detected disturbance,
2021,33,13,fire,No detected disturbance,
2021,33,11,fire,No detected disturbance,
2021,33,13,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,32.8,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,32,,fire,No detected disturbance,
2021,32,12,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,32,14,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,32,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,32,12,fire,No detected disturbance,
2022,32,14,fire,No detected disturbance,
2022,32,11,fire,No detected disturbance,
2022,32,13,fire,No detected disturbance,
2020,31.5,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,31.5,14,fire,No detected disturbance,
2022,31.5,14,fire,No detected disturbance,
2019,31,14,fire,No detected disturbance,
2020,31,12,fire,No detected disturbance,
2020,31,14,fire,No detected disturbance,
2021,,0.3,fire,No detected disturbance,
2021,31,9,fire,No detected disturbance,
2021,31,8,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,31,13,fire,No detected disturbance,
2021,31,12,fire,No detected disturbance,
2021,31,18,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2022,31,22,fire,No detected disturbance,
2022,31,12,fire,No detected disturbance,
2022,31,14,fire,No detected disturbance,
2021,30.5,10,fire,No detected disturbance,
2022,30.5,13,fire,No detected disturbance,
2020,30,10,fire,No detected disturbance,
2018,30,15,fire,No detected disturbance,
2018,30,15,fire,No detected disturbance,
2019,30,9,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2018,30,12,fire,No detected disturbance,
2020,30,10,fire,No detected disturbance,
2020,30,12,fire,No detected disturbance,
2020,30,15,fire,No detected disturbance,
2020,30,14,fire,No detected disturbance,
2021,30,13,fire,No detected disturbance,
2021,30,15,fire,No detected disturbance,
2021,30,15,fire,No detected disturbance,
2021,30,12,fire,No detected disturbance,
2021,,0.3,fire,No detected disturbance,
2021,30,9,fire,No detected disturbance,
2022,30,10,fire,No detected disturbance,
2022,30,11,fire,No detected disturbance,
2022,30,14,fire,No detected disturbance,
2022,30,13,fire,No detected disturbance,
2021,29.5,13,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,29.5,12,fire,No detected disturbance,
2021,29.5,12,fire,No detected disturbance,
2021,29,12,fire,No detected disturbance,
2020,29,15,fire,No detected disturbance,
2020,29,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,0.1,fire,No detected disturbance,
2021,29,14.5,fire,No detected disturbance,
2021,29,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2022,29,12,fire,No detected disturbance,
2022,29,11,fire,No detected disturbance,
2022,29,11,fire,No detected disturbance,
2022,29,11,fire,No detected disturbance,
2022,29,11,fire,No detected disturbance,
2022,29,13,fire,No detected disturbance,
2022,29,13,fire,No detected disturbance,
2022,29,13,fire,No detected disturbance,
2021,28.5,14,fire,No detected disturbance,
2021,28.5,16,fire,No detected disturbance,
2020,28,,fire,No detected disturbance,
2021,28,11,fire,No detected disturbance,
2019,28,10,fire,No detected disturbance,
2020,28,7,fire,No detected disturbance,
2020,28,14,fire,No detected disturbance,
2020,28,14,fire,No detected disturbance,
2020,28,15,fire,No detected disturbance,
2020,28,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,28,14,fire,No detected disturbance,
2021,28,9,fire,No detected disturbance,
2021,28,14,fire,No detected disturbance,
2021,28,15,fire,No detected disturbance,
2021,28,14.4,fire,No detected disturbance,
2021,28,11,fire,No detected disturbance,
2021,28,10,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2022,28,11,fire,No detected disturbance,
2022,28,13,fire,No detected disturbance,
2022,28,11,fire,No detected disturbance,
2022,28,11,fire,No detected disturbance,
2022,28,12,fire,No detected disturbance,
2022,28,13,fire,No detected disturbance,
2022,28,12,fire,No detected disturbance,
2022,28,11,fire,No detected disturbance,
2021,,0.4,fire,No detected disturbance,
2021,27.8,8,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,27.7,,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2020,27.7,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,27.5,12,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,27.5,13,fire,No detected disturbance,
2021,27.5,12,fire,No detected disturbance,
2022,27.5,11,fire,No detected disturbance,
2020,27.4,,fire,No detected disturbance,
2020,27,12,fire,No detected disturbance,
2020,27,14,fire,No detected disturbance,
2020,27,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,27,,fire,Fire Severity 3 - Moderate Crown Scorch,
2021,,0.45,fire,No detected disturbance,
2021,27,14.5,fire,No detected disturbance,
2021,,0.45,fire,No detected disturbance,
2021,27,12.6,fire,No detected disturbance,
2021,27,12.2,fire,No detected disturbance,
2021,27,12,fire,Fire Severity 3 - Moderate Crown Scorch,
2022,27,20,fire,No detected disturbance,
2022,27,11,fire,No detected disturbance,
2022,27,11,fire,No detected disturbance,
2022,27,9,fire,No detected disturbance,
2022,27,10,fire,No detected disturbance,
2022,27,11,fire,No detected disturbance,
2020,26.7,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,26.7,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2019,26.5,12,fire,No detected disturbance,
2021,26.5,8,fire,No detected disturbance,
2021,26.5,15,fire,No detected disturbance,
2021,26.5,10,fire,No detected disturbance,
2021,26.5,11,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26.5,11,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26.5,17,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26.5,11,fire,No detected disturbance,
2022,26.5,11,fire,No detected disturbance,
2021,,0.4,fire,No detected disturbance,
2021,26.3,9,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26.2,8,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,26.1,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,26.1,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,26,,fire,No detected disturbance,
2021,,0.5,fire,No detected disturbance,
2022,26,9,fire,No detected disturbance,
2019,26,12,fire,No detected disturbance,
2019,26,16,fire,No detected disturbance,
2020,26,15,fire,No detected disturbance,
2020,26,10,fire,No detected disturbance,
2020,26,16,fire,No detected disturbance,
2021,,0.15,fire,No detected disturbance,
2021,,0.1,fire,No detected disturbance,
2021,26,12,fire,No detected disturbance,
2021,26,13,fire,No detected disturbance,
2021,26,12.8,fire,No detected disturbance,
2021,26,13,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26,14,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2021,26,6,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26,8,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26,14,fire,No detected disturbance,
2021,26,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,26,11,fire,No detected disturbance,
2021,26,9,fire,No detected disturbance,
2021,,0.2,fire,No detected disturbance,
2022,26,11,fire,No detected disturbance,
2022,26,13,fire,No detected disturbance,
2022,26,13,fire,No detected disturbance,
2022,26,15,fire,No detected disturbance,
2022,26,10,fire,No detected disturbance,
2022,26,9,fire,No detected disturbance,
2022,26,8,fire,No detected disturbance,
2022,26,13,fire,No detected disturbance,
2022,26,14,fire,No detected disturbance,
2022,26,10,fire,No detected disturbance,
2022,26,9,fire,No detected disturbance,
2022,26,13.5,fire,No detected disturbance,
2022,26,12,fire,No detected disturbance,
2022,26,13,fire,No detected disturbance,
2022,26,9,fire,No detected disturbance,
2022,26,13.5,fire,No detected disturbance,
2022,26,,fire,No detected disturbance,
2022,26,,fire,No detected disturbance,
2022,26,12,fire,No detected disturbance,
2022,26,9,fire,No detected disturbance,
2022,26,9,fire,No detected disturbance,
2022,26,9,fire,No detected disturbance,
2022,26,12,fire,No detected disturbance,
2022,26,12,fire,No detected disturbance,
2022,26,16,fire,No detected disturbance,
2021,25.5,12,fire,No detected disturbance,
2021,25.5,11,fire,No detected disturbance,
2021,25.5,12,fire,No detected disturbance,
2022,25.5,14,fire,No detected disturbance,
2022,25.5,8,fire,No detected disturbance,
2022,25.5,11,fire,No detected disturbance,
2022,25.5,9,fire,No detected disturbance,
2020,25.1,,fire,No detected disturbance,
2020,25,,fire,No detected disturbance,
2018,25,12,fire,No detected disturbance,
2019,25,14,fire,No detected disturbance,
2020,25,10,fire,No detected disturbance,
2020,25,13,fire,No detected disturbance,
2020,25,14,fire,No detected disturbance,
2020,25,15,fire,No detected disturbance,
2020,25,9,fire,No detected disturbance,
2020,25,12,fire,Fire Severity 3 - Moderate Crown Scorch,
2021,25,11,fire,No detected disturbance,
2021,25,13,fire,No detected disturbance,
2021,25,12,fire,No detected disturbance,
2021,25,10,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,25,13,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,25,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,25,12,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,25,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,25,6,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,25,12,fire,No detected disturbance,
2021,,0.6,fire,No detected disturbance,
2021,25,14,fire,No detected disturbance,
2021,25,11,fire,No detected disturbance,
2021,25,12.4,fire,No detected disturbance,
2021,25,12,fire,No detected disturbance,
2021,25,14,fire,No detected disturbance,
2021,25,12.1,fire,No detected disturbance,
2021,25,14,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,19,11,fire,No detected disturbance,
2021,25,9,fire,No detected disturbance,
2021,25,9,fire,Fire Severity 4/5a - Light or No Crown Scorch. Understorey Burnt,
2021,25,10,fire,No detected disturbance,
2022,25,20,fire,No detected disturbance,
2022,25,10,fire,No detected disturbance,
2022,25,11,fire,No detected disturbance,
2022,25,10,fire,No detected disturbance,
2022,25,13,fire,No detected disturbance,
2022,25,10,fire,No detected disturbance,
2022,25,11,fire,No detected disturbance,
2022,25,10,fire,No detected disturbance,
2022,25,12,fire,No detected disturbance,
2022,25,11,fire,No detected disturbance,
2022,25,11,fire,No detected disturbance,
2022,25,11,fire,No detected disturbance,
2022,25,11,fire,No detected disturbance,
2022,25,13,fire,No detected disturbance,
2022,25,13,fire,No detected disturbance,
2022,25,12,fire,No detected disturbance,
2022,25,13,fire,No detected disturbance,
2022,25,10,fire,No detected disturbance,
2020,24.8,,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2020,24.5,12,fire,No detected disturbance,
2020,24.5,,fire,No detected disturbance,
2020,24.5,,fire,No detected disturbance,
2021,24.5,,fire,No detected disturbance,
2022,24.5,12,fire,No detected disturbance,
2022,24.5,12,fire,No detected disturbance,
2021,24.25,12,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2019,24,9,fire,No detected disturbance,
2019,24,6,fire,No detected disturbance,
2020,24,17,fire,No detected disturbance,
2021,24,13,fire,No detected disturbance,
2019,24,12,fire,No detected disturbance,
2019,24,12,fire,No detected disturbance,
2020,24,9,fire,No detected disturbance,
2020,24,10,fire,No detected disturbance,
2020,24,14,fire,No detected disturbance,
2020,24,13,fire,No detected disturbance,
2021,18.5,9,fire,No detected disturbance,
2021,24,11,fire,No detected disturbance,
2021,24,8,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,24,14,fire,No detected disturbance,
2021,24,11,fire,No detected disturbance,
2021,24,11,fire,No detected disturbance,
2021,24,12.4,fire,No detected disturbance,
2021,24,8,fire,No detected disturbance,
2021,24,16.6,fire,No detected disturbance,
2021,24,11,fire,No detected disturbance,
2021,24,7,fire,No detected disturbance,
2021,24,14,fire,No detected disturbance,
2021,24,12,fire,No detected disturbance,
2021,24,15,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,13,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,9,fire,No detected disturbance,
2022,24,12,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,12,fire,No detected disturbance,
2022,24,7,fire,No detected disturbance,
2022,24,9,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,10,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,8,fire,No detected disturbance,
2022,24,9,fire,No detected disturbance,
2022,24,14,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,13,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,12,fire,No detected disturbance,
2022,24,11,fire,No detected disturbance,
2022,24,10,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2022,24,11,fire,No detected disturbance,
2022,24,13,fire,No detected disturbance,
2021,23.5,12,fire,No detected disturbance,
2021,23.5,13,fire,No detected disturbance,
2021,23.5,9,fire,No detected disturbance,
2021,23.5,13.4,fire,No detected disturbance,
2021,23.5,16,fire,No detected disturbance,
2022,23.5,10,fire,No detected disturbance,
2022,23.5,9,fire,No detected disturbance,
2021,23,10,fire,No detected disturbance,
2021,23,8,fire,No detected disturbance,
2020,23,9,fire,No detected disturbance,
2020,23,12,fire,No detected disturbance,
2020,23,18,fire,No detected disturbance,
2020,23,15,fire,No detected disturbance,
2020,23,13,fire,No detected disturbance,
2021,23,9,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,18,9,fire,No detected disturbance,
2021,23,10,fire,No detected disturbance,
2021,14,14,fire,No detected disturbance,
2021,23,12,fire,No detected disturbance,
2021,23,11,fire,No detected disturbance,
2021,13,10,fire,No detected disturbance,
2021,23,14,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,23,11,fire,No detected disturbance,
2021,23,11,fire,No detected disturbance,
2021,23,11,fire,No detected disturbance,
2021,23,12,fire,No detected disturbance,
2021,23,9.5,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,23,7,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,23,10,fire,No detected disturbance,
2021,23,11,fire,No detected disturbance,
2021,23,11.6,fire,No detected disturbance,
2021,23,15,fire,No detected disturbance,
2021,23,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2022,23,11,fire,No detected disturbance,
2022,23,10,fire,No detected disturbance,
2022,23,10,fire,No detected disturbance,
