persoonia_regen_height_m,max_tree_age_yrs
1.29,4.10684931506853
1.55,4.10684931506853
1.48,4.10684931506853
0.81,4.10684931506853
0.33,4.10684931506853
0.9,4.10684931506853
2.4,4.10684931506853
1.18,4.10684931506853
2.05,4.10684931506853
0.015,4.10684931506853
1.32,4.10684931506853
0.61,4.10684931506853
1.79,4.10684931506853
2.02,4.10684931506853
0.5,4.10684931506853
1.22,4.10684931506853
1.78,4.10684931506853
1.93,4.10684931506853
1.85,4.10684931506853
2.49,4.10684931506853
1.75,4.10684931506853
0.61,4.10684931506853
1.96,4.10684931506853
1.26,4.10684931506853
1.5,4.10684931506853
1.42,4.10684931506853
0.71,4.10684931506853
1.33,4.10684931506853
2.22,4.10684931506853
1.08,4.10684931506853
2.08,4.10684931506853
0.94,4.10684931506853
1.15,4.10684931506853
1.61,4.10684931506853
1.53,4.10684931506853
0.31,4.10684931506853
0.33,4.10684931506853
0.21,4.10684931506853
1.44,4.10684931506853
1.81,4.10684931506853
1.52,4.10684931506853
0.66,4.10684931506853
1.57,4.10684931506853
0.91,4.10684931506853
0.87,4.10684931506853
1.3,4.10684931506853
1.25,4.10684931506853
1.34,4.10684931506853
1.3,4.10684931506853
1.94,4.10684931506853
0.39,4.10684931506853
0.36,4.10684931506853
1.09,4.10684931506853
1.78,4.10684931506853
1.69,4.10684931506853
1.3,4.10684931506853
1.92,4.10684931506853
1.57,4.10684931506853
1.63,4.10684931506853
0.89,4.10684931506853
2.22,4.10684931506853
0.58,4.10684931506853
1.1,4.10684931506853
0.79,4.10684931506853
0.06,4.10684931506853
0.05,4.10684931506853
0.49,4.10684931506853
0.83,4.10684931506853
0.07,4.10684931506853
0.07,4.10684931506853
2.02,4.10684931506853
0.15,4.10684931506853
0.69,4.10684931506853
0.73,4.10684931506853
1.55,4.10684931506853
1.96,4.10684931506853
1.07,4.10684931506853
1.32,4.10684931506853
2.28,4.10684931506853
0.23,4.10684931506853
1.67,4.10684931506853
1.76,4.10684931506853
1.89,4.10684931506853
